iter	Passed	Remaining
243	184610	1328588
244	185469	1328566
245	186316	1328455
246	186972	1326975
247	187564	1325051
248	188324	1324318
249	188952	1322670
250	189664	1321604
251	190341	1320304
252	191039	1319154
253	191725	1317925
254	192430	1316825
255	193104	1315525
256	193816	1314480
257	194608	1313982
258	195332	1313025
259	196035	1311926
260	196721	1310719
261	197456	1309844
262	198139	1308626
263	198883	1307810
264	199487	1306077
265	200142	1304687
266	200806	1303361
267	201598	1302868
268	202328	1301969
269	203011	1300775
270	203712	1299698
271	204406	1298585
272	205086	1297380
273	205782	1296280
274	206465	1295102
275	207155	1293971
276	208196	1295025
277	208843	1293624
278	209527	1292464
279	210190	1291171
280	210856	1289899
281	211546	1288780
282	212244	1287717
283	212902	1286409
284	213693	1285909
285	214382	1284795
286	215096	1283832
287	215855	1283138
288	216754	1283274
289	217457	1282248
290	218121	1280993
291	218803	1279852
292	219416	1278304
293	220185	1277676
294	220882	1276626
295	221573	1275542
296	222242	1274340
297	222900	1273077
298	223597	1272040
299	224222	1270593
300	224752	1268621
301	225398	1267306
302	226001	1265756
303	226881	1265759
304	227549	1264578
305	228202	1263315
306	228885	1262227
307	229553	1261051
308	230216	1259860
309	230906	1258813
310	231529	1257404
311	232330	1256964
312	233081	1256259
313	233667	1254658
314	234275	1253188
315	234975	1252209
316	235662	1251167
317	236370	1250238
318	237198	1249940
319	237923	1249096
320	238528	1247629
321	239286	1246963
322	240042	1246288
323	240707	1245140
324	241457	1244432
325	242115	1243257
326	242893	1242695
327	243533	1241428
328	244176	1240178
329	244809	1238882
330	245473	1237752
331	246204	1236956
332	246918	1236076
333	247588	1234975
334	248282	1234001
335	248950	1232898
336	249628	1231848
337	250306	1230797
338	251001	1229832
339	251704	1228911
340	252382	1227864
341	252974	1226408
342	253749	1225840
343	254429	1224812
344	255153	1223998
345	255790	1222768
346	256425	1221533
347	257107	1220522
348	257795	1219543
349	259009	1221043
350	259649	1219834
351	260277	1218571
352	260876	1217179
353	261552	1216144
